tkn_pair,oracle_price,time,id,block_number
DOT/USD,422634844,1745867090,164999,7430169
DOT/USD,419217865,1745863248,164946,7429863
DOT/USD,416734321,1745862407,164931,7429796
DOT/USD,414249302,1745858207,164841,7429465
DOT/USD,411795615,1745857847,164833,7429436
DOT/USD,409498246,1745855207,164768,7429231
DOT/USD,411561982,1745853768,164724,7429116
DOT/USD,413951002,1745853047,164701,7429057
DOT/USD,416418910,1745850768,164661,7428876
DOT/USD,418574446,1745849927,164655,7428808
DOT/USD,416047166,1745849088,164653,7428740
DOT/USD,413970556,1745848848,164651,7428721
DOT/USD,417057615,1745847528,164617,7428613
DOT/USD,419457452,1745847048,164600,7428575
DOT/USD,421834239,1745841888,164553,7428165
DOT/USD,424415637,1745837207,164525,7427791
DOT/USD,422205338,1745836727,164514,7427752
DOT/USD,420033100,1745836488,164506,7427732
DOT/USD,418840824,1745836009,164482,7427697
DOT/USD,421461090,1745834807,164439,7427605
DOT/USD,423599358,1745833607,164389,7427511
DOT/USD,425972674,1745831567,164280,7427358
DOT/USD,423654384,1745831087,164265,7427319
DOT/USD,421345214,1745830368,164262,7427260
DOT/USD,423540300,1745827849,164214,7427063
DOT/USD,421287850,1745825207,164202,7426855
DOT/USD,418861975,1745822328,164173,7426631
DOT/USD,416489151,1745821367,164157,7426556
DOT/USD,414191602,1745820768,164148,7426507
DOT/USD,412094995,1745816448,164111,7426167
DOT/USD,414242529,1745814407,164095,7426011
DOT/USD,411894051,1745811287,164077,7425775
DOT/USD,409720193,1745810327,164061,7425699
DOT/USD,407325041,1745807687,164034,7425494
DOT/USD,404906219,1745806008,164020,7425371
DOT/USD,402481039,1745804208,163994,7425234
DOT/USD,405564865,1745803368,163967,7425169
DOT/USD,408634439,1745801448,163949,7425022
DOT/USD,410756307,1745800488,163937,7424950
DOT/USD,407581353,1745800081,163930,7424919
DOT/USD,407767610,1745799651,163926,7424885
DOT/USD,405715776,1745799175,163920,7424849
DOT/USD,407897550,1745798568,163887,7424802
DOT/USD,410706739,1745794967,163857,7424529
DOT/USD,413129353,1745789687,163823,7424106
DOT/USD,410989613,1745788008,163809,7423975
DOT/USD,413145745,1745782487,163765,7423542
DOT/USD,411009281,1745779487,163748,7423304
DOT/USD,408805232,1745774327,163693,7422895
DOT/USD,406766314,1745771687,163653,7422685
DOT/USD,409829091,1745767847,163581,7422379
DOT/USD,412361056,1745761727,163549,7421887
DOT/USD,410131215,1745756807,163514,7421490
DOT/USD,412437318,1745750088,163452,7420955
DOT/USD,413308922,1745749247,163447,7420890
DOT/USD,415554574,1745743607,163408,7420451
DOT/USD,413457411,1745731368,163316,7419481
DOT/USD,415695637,1745728608,163258,7419269
DOT/USD,417797056,1745717810,163151,7418424
DOT/USD,420097742,1745717099,163123,7418367
DOT/USD,422427501,1745716973,163102,7418358
DOT/USD,424754195,1745716851,163091,7418348
DOT/USD,427479519,1745708207,163002,7417659
DOT/USD,429644809,1745703287,162961,7417278
DOT/USD,427451990,1745680128,162780,7415453
DOT/USD,425291485,1745678087,162755,7415293
DOT/USD,422989199,1745675928,162731,7415123
DOT/USD,420673478,1745675207,162715,7415066
DOT/USD,423000794,1745674247,162698,7414991
DOT/USD,425317127,1745667647,162622,7414465
DOT/USD,427880686,1745663689,162581,7414160
DOT/USD,429072984,1745662007,162578,7414031
DOT/USD,426760381,1745660088,162559,7413881
DOT/USD,429026598,1745659368,162556,7413827
DOT/USD,426826142,1745658288,162544,7413741
DOT/USD,429740615,1745656972,162516,7413635
DOT/USD,432563993,1745656127,162503,7413570
DOT/USD,429968434,1745655167,162498,7413493
DOT/USD,432133248,1745651688,162453,7413220
DOT/USD,429889594,1745649407,162425,7413039
DOT/USD,427652261,1745645809,162416,7412755
DOT/USD,425107123,1745644007,162388,7412617
DOT/USD,427679573,1745639087,162336,7412239
DOT/USD,430229743,1745638607,162329,7412203
DOT/USD,432747011,1745633567,162285,7411816
DOT/USD,435483835,1745632847,162280,7411763
DOT/USD,432873596,1745631408,162253,7411654
DOT/USD,428957283,1745626488,162219,7411285
DOT/USD,426374458,1745623487,162207,7411057
DOT/USD,428523059,1745622167,162203,7410958
DOT/USD,430762553,1745621448,162200,7410906
DOT/USD,427967440,1745620128,162184,7410804
DOT/USD,425483047,1745616407,162157,7410530
DOT/USD,428157457,1745614368,162148,7410373
DOT/USD,425740492,1745612808,162138,7410249
DOT/USD,428266272,1745604648,162045,7409602
DOT/USD,426088654,1745603328,162031,7409499
DOT/USD,428360071,1745602728,162019,7409454
DOT/USD,431072900,1745599248,161990,7409180
DOT/USD,428333095,1745597687,161978,7409054
DOT/USD,430544981,1745592530,161892,7408644
DOT/USD,427862653,1745590127,161869,7408459
DOT/USD,425613294,1745588449,161864,7408326
DOT/USD,423340036,1745588088,161860,7408298
DOT/USD,426005531,1745585448,161834,7408087
DOT/USD,428331668,1745584007,161783,7407976
DOT/USD,431695601,1745583288,161766,7407922
DOT/USD,429196228,1745581007,161727,7407745
DOT/USD,431505756,1745579807,161675,7407655
DOT/USD,428746928,1745577288,161631,7407461
DOT/USD,428971148,1745576207,161621,7407379
DOT/USD,431229092,1745573327,161558,7407154
DOT/USD,433695451,1745571287,161529,7406991
DOT/USD,431005495,1745568527,161495,7406771
DOT/USD,433219641,1745566007,161442,7406570
DOT/USD,435455842,1745564568,161416,7406456
