tkn_pair,oracle_price,time,id,block_number
AAVE/USD,25525751613,1748543653,215207,7697173
AAVE/USD,25677500235,1748542812,215194,7697040
AAVE/USD,25813430650,1748542214,215134,7696945
AAVE/USD,25662689849,1748540902,215088,7696736
AAVE/USD,25509580562,1748536091,214969,7695972
AAVE/USD,25649540096,1748535370,214951,7695854
AAVE/USD,25498980918,1748533212,214931,7695510
AAVE/USD,25669099397,1748530095,214907,7695005
AAVE/USD,25508665699,1748529615,214904,7694929
AAVE/USD,25378110357,1748528295,214855,7694718
AAVE/USD,25542468787,1748527569,214815,7694604
AAVE/USD,25774434881,1748526312,214797,7694410
AAVE/USD,25784274729,1748526277,214794,7694404
AAVE/USD,25917586107,1748526009,214785,7694361
AAVE/USD,26095052157,1748525654,214784,7694307
AAVE/USD,26233633571,1748524811,214781,7694170
AAVE/USD,26399608553,1748524210,214779,7694073
AAVE/USD,26264578469,1748522680,214757,7693824
AAVE/USD,26419118040,1748520486,214621,7693472
AAVE/USD,26603017590,1748519051,214581,7693238
AAVE/USD,26746887450,1748516650,214517,7692865
AAVE/USD,26901201446,1748514250,214506,7692487
AAVE/USD,26746133102,1748513410,214505,7692352
AAVE/USD,26911482237,1748512090,214495,7692145
AAVE/USD,26734512522,1748508490,214475,7691568
AAVE/USD,26877335310,1748505972,214462,7691159
AAVE/USD,27041020565,1748502490,214390,7690601
AAVE/USD,27200931425,1748501770,214388,7690492
AAVE/USD,27338743692,1748501410,214387,7690431
AAVE/USD,27167873396,1748500691,214373,7690319
AAVE/USD,26998651062,1748500330,214360,7690261
AAVE/USD,26858961157,1748499616,214330,7690145
AAVE/USD,26714966582,1748496612,214292,7689665
AAVE/USD,26860422697,1748494452,214261,7689309
AAVE/USD,26692219437,1748493989,214254,7689233
AAVE/USD,26884822699,1748493495,214241,7689153
AAVE/USD,27086658391,1748492534,214231,7688997
AAVE/USD,26938246564,1748492294,214230,7688960
AAVE/USD,27075572041,1748489891,214217,7688571
AAVE/USD,27279870814,1748486892,214196,7688090
AAVE/USD,27116577404,1748485979,214175,7687938
AAVE/USD,26942283841,1748485713,214162,7687894
AAVE/USD,26718630955,1748484370,214117,7687677
AAVE/USD,26875839296,1748483291,214066,7687501
AAVE/USD,26726340781,1748482451,214064,7687364
AAVE/USD,26864986425,1748481971,214062,7687283
AAVE/USD,27044303447,1748480166,214043,7686990
AAVE/USD,26870723644,1748479691,214040,7686917
AAVE/USD,26698036703,1748478614,214008,7686742
AAVE/USD,26537644706,1748478134,213985,7686668
AAVE/USD,26346076192,1748477534,213983,7686573
AAVE/USD,26493034099,1748475012,213929,7686170
AAVE/USD,26359959894,1748474053,213922,7686017
AAVE/USD,26209018601,1748473090,213917,7685858
AAVE/USD,26053476943,1748471650,213904,7685627
AAVE/USD,26202400575,1748461452,213693,7683975
AAVE/USD,26351987669,1748460735,213678,7683860
AAVE/USD,26484705117,1748459527,213670,7683666
AAVE/USD,26347113840,1748458571,213661,7683514
AAVE/USD,26480338139,1748453290,213615,7682678
AAVE/USD,26646730899,1748451855,213598,7682446
AAVE/USD,26501286657,1748447771,213570,7681794
AAVE/USD,26639382958,1748443931,213535,7681185
AAVE/USD,26797808569,1748442372,213511,7680938
AAVE/USD,26658645673,1748441899,213498,7680859
AAVE/USD,26830026444,1748440812,213483,7680681
AAVE/USD,27008356265,1748439857,213457,7680528
AAVE/USD,27058535941,1748439373,213452,7680449
AAVE/USD,26894469885,1748437569,213376,7680159
AAVE/USD,27037034178,1748434812,213316,7679720
AAVE/USD,26897491374,1748428331,213232,7678689
AAVE/USD,26733110988,1748426656,213228,7678427
AAVE/USD,26903264342,1748423890,213197,7677986
AAVE/USD,27089140413,1748421970,213178,7677679
AAVE/USD,26952543302,1748414050,213097,7676401
AAVE/USD,27098524728,1748412730,213091,7676182
AAVE/USD,27236989995,1748410449,213090,7675814
AAVE/USD,27403169858,1748407690,213067,7675365
AAVE/USD,27222164907,1748407087,213064,7675266
AAVE/USD,27044234165,1748406374,213042,7675152
AAVE/USD,27191044314,1748405170,213027,7674955
AAVE/USD,27328541882,1748404571,213019,7674861
AAVE/USD,27163782553,1748403010,212996,7674609
