id,block_number,tkn_pair,oracle_price,time
211619,7654990,tBTC/USD,10918724629044,1748280370
211479,7653968,tBTC/USD,10984960420051,1748274012
211448,7653582,tBTC/USD,10926514040863,1748271630
211390,7652858,tBTC/USD,10951110490070,1748267059
211034,7649143,tBTC/USD,10967740506077,1748243051
210881,7645648,tBTC/USD,10910682888780,1748221343
210795,7644750,tBTC/USD,10849148779673,1748215810
210787,7644481,tBTC/USD,10910855473661,1748214132
210754,7644108,tBTC/USD,10841856680544,1748211856
210753,7644096,tBTC/USD,10718767073780,1748211783
210752,7644059,tBTC/USD,10841856680544,1748211541
210724,7643467,tBTC/USD,10768133196068,1748207890
210288,7640089,tBTC/USD,10692911771862,1748186778
210185,7639121,tBTC/USD,10754716415025,1748180653
210113,7638351,tBTC/USD,10721211993566,1748175735
210026,7636426,tBTC/USD,10665894667957,1748163493
209977,7635975,tBTC/USD,10724444273443,1748160731
209750,7633106,tBTC/USD,10790505926548,1748142970
209366,7631728,tBTC/USD,10733305541627,1748134385
209347,7631709,tBTC/USD,10676443067662,1748134262
209174,7630439,tBTC/USD,10802705677637,1748126289
208708,7625383,tBTC/USD,10862019821902,1748094254
208611,7623848,tBTC/USD,10885285952851,1748084290
208596,7623655,tBTC/USD,10831083261064,1748082972
208363,7619305,tBTC/USD,10774968763722,1748055250
208315,7618849,tBTC/USD,10711273691605,1748052372
208291,7618360,tBTC/USD,10768475840459,1748049251
208283,7618189,tBTC/USD,10714470738886,1748048170
208280,7618121,tBTC/USD,10769149448099,1748047693
208203,7617528,tBTC/USD,10707920395122,1748043861
208197,7617475,tBTC/USD,10788211238705,1748043506
208195,7617398,tBTC/USD,10722919958893,1748043013
207990,7615848,tBTC/USD,10784768566275,1748032950
207811,7614366,tBTC/USD,10879188327926,1748023327
207789,7614100,tBTC/USD,10944248172665,1748021651
207744,7613620,tBTC/USD,10876715398275,1748018649
207743,7613584,tBTC/USD,10932946493464,1748018408
207738,7613437,tBTC/USD,10849068531772,1748017499
207637,7612574,tBTC/USD,10971864015709,1748012054
207636,7612519,tBTC/USD,10912606233817,1748011695
207541,7611927,tBTC/USD,10813493615960,1748007985
207467,7611339,tBTC/USD,10858307532479,1748004318
207361,7611104,tBTC/USD,10797373615139,1748002888
207310,7610985,tBTC/USD,10859744495717,1748002144
207269,7610889,tBTC/USD,10976277776641,1748001561
207235,7610831,tBTC/USD,11050493822621,1748001193
207224,7610789,tBTC/USD,11143068564588,1748000942
207196,7610597,tBTC/USD,11042793312979,1747999731
207157,7609603,tBTC/USD,11104978098281,1747993450
206906,7607253,tBTC/USD,11042091459871,1747978811
206884,7607159,tBTC/USD,11109931207090,1747978214
206872,7606743,tBTC/USD,11041986122913,1747975572
